YEAR,Filename,ORG_TYPE_DESCRIPTION,ORG_CODE,NEW_CODE,ORG_TITLE,SEX_CODE,AGE_BAND_CODE,Rate
2020,10A_158CR,NATIONAL,E&W,K04000001,England and Wales,M,'35-64,13.16
2020,10A_158CR,NATIONAL,E&W,K04000001,England and Wales,M,'1+,44.86
2020,10A_158CR,NATIONAL,E&W,K04000001,England and Wales,M,'65-74,73.8
2020,10A_158CR,NATIONAL,E&W,K04000001,England and Wales,M,'05-14,0.09
2020,10A_158CR,NATIONAL,E&W,K04000001,England and Wales,M,'75+,432.11
2020,10A_158CR,NATIONAL,E&W,K04000001,England and Wales,M,'15-34,0.59
2020,10A_158CR,NATIONAL,E&W,K04000001,England and Wales,M,'01-04,0.12
2020,10A_158CR,NATIONAL,E&W,K04000001,England and Wales,F,'01-04,0.24
2020,10A_158CR,NATIONAL,E&W,K04000001,England and Wales,F,'75+,485.45
2020,10A_158CR,NATIONAL,E&W,K04000001,England and Wales,F,'05-14,0.09
2020,10A_158CR,NATIONAL,E&W,K04000001,England and Wales,F,'35-64,9.44
2020,10A_158CR,NATIONAL,E&W,K04000001,England and Wales,F,'65-74,55.23
2020,10A_158CR,NATIONAL,E&W,K04000001,England and Wales,F,'15-34,0.59
2020,10A_158CR,NATIONAL,E&W,K04000001,England and Wales,F,'1+,56.65
2020,10A_158CR,NATIONAL,E&W,K04000001,England and Wales,P,'05-14,0.09
2020,10A_158CR,NATIONAL,E&W,K04000001,England and Wales,P,'65-74,64.17
2020,10A_158CR,NATIONAL,E&W,K04000001,England and Wales,P,'15-34,0.59
2020,10A_158CR,NATIONAL,E&W,K04000001,England and Wales,P,'75+,462.53
2020,10A_158CR,NATIONAL,E&W,K04000001,England and Wales,P,'35-64,11.28
2020,10A_158CR,NATIONAL,E&W,K04000001,England and Wales,P,'01-04,0.18
2020,10A_158CR,NATIONAL,E&W,K04000001,England and Wales,P,'1+,50.82
2020,10A_158CR,NATIONAL,ENG,E92000001,England,M,'1+,44.29
2020,10A_158CR,NATIONAL,ENG,E92000001,England,M,'15-34,0.58
2020,10A_158CR,NATIONAL,ENG,E92000001,England,M,'05-14,0.09
2020,10A_158CR,NATIONAL,ENG,E92000001,England,M,'75+,429.54
