GPRegPop,Hypertens,Anxiety,Depression,Asthma,Obesity,Diabetes,CHD,Fall,Cancer,CKD,COPD,Target,AF
1495,165,163,175,110,102,63,47,51,25,17,36,33,19
1457,203,191,173,92,90,62,58,80,38,35,35,33,29
1343,190,191,171,104,96,68,53,50,25,24,29,23,21
1391,269,131,100,102,125,54,51,33,43,39,31,23,18
1459,265,161,133,92,124,96,87,85,41,58,50,51,38
1450,200,162,142,93,114,70,51,33,35,21,30,22,15
1497,330,217,206,107,160,111,116,56,52,72,95,56,44
1406,192,111,94,85,80,49,36,24,37,20,18,18,23
1557,293,108,89,90,101,74,85,27,68,51,27,32,47
1705,255,172,126,82,147,91,57,47,42,44,39,25,24
1706,214,183,146,112,143,65,53,69,24,37,31,31,29
1436,200,142,116,101,141,102,46,48,33,32,29,24,21
1514,210,136,151,104,135,78,68,40,32,38,48,43,32
2029,338,333,357,192,221,135,104,200,57,54,106,89,46
2038,299,394,464,226,235,126,94,145,41,35,124,38,39
1847,222,293,326,150,181,93,58,102,30,26,56,27,25
1936,226,361,442,169,199,120,59,142,37,40,81,40,22
1577,213,195,204,116,121,75,43,55,30,21,40,25,17
1879,307,365,368,165,180,153,106,119,46,45,136,50,30
1643,219,188,176,114,122,75,40,51,37,25,36,17,18
2080,238,247,265,146,140,117,97,68,23,49,65,43,39
1780,226,233,247,151,180,113,83,63,36,43,78,48,30
1873,230,199,222,149,155,110,59,70,35,49,71,42,20
1683,210,233,240,127,143,90,65,88,35,38,63,43,25
1406,192,169,134,90,108,61,48,70,28,27,31,24,30
1703,195,208,206,120,139,103,76,49,22,38,72,33,27
1408,251,123,96,84,72,99,75,117,63,48,18,57,51
1673,232,150,118,110,62,87,50,123,62,34,19,32,29
1466,192,166,169,97,73,57,62,103,47,30,24,31,23
1267,187,141,111,80,66,65,48,90,39,40,32,20,38
1372,146,141,115,85,60,68,35,101,38,26,16,24,20
1426,170,137,108,96,60,102,61,100,51,33,9,30,29
1516,228,155,163,119,73,83,60,111,63,46,28,40,37
1500,237,211,225,121,113,99,82,131,46,39,64,37,34
1307,151,134,102,83,48,62,39,83,28,32,19,28,25
1566,225,113,85,92,66,100,68,106,62,25,8,26,33
1530,258,153,170,104,85,93,71,86,49,47,32,37,37
1470,231,164,150,96,100,85,68,109,36,26,40,49,38
1535,191,156,148,122,79,75,57,93,41,26,30,21,31
1525,142,154,135,131,108,71,47,59,25,13,26,20,15
1586,239,185,224,131,119,120,82,75,47,47,66,49,19
1278,237,106,125,88,72,69,57,73,34,33,26,36,27
1590,248,128,139,109,94,91,83,81,56,43,19,23,37
1485,249,100,100,89,49,77,69,116,45,30,15,44,28
1670,225,132,156,125,77,69,50,91,50,23,19,32,32
1754,258,133,133,108,69,70,67,101,48,51,24,36,48
1377,175,76,79,82,37,51,37,62,45,26,13,19,25
1546,202,102,100,71,53,58,46,65,36,29,11,29,30
1670,229,117,125,100,55,66,51,74,55,37,19,26,36
1340,178,119,125,79,67,79,36,61,27,30,25,23,20
1697,231,132,158,101,79,75,53,102,55,28,30,29,37
1473,220,97,95,95,50,61,62,69,44,31,13,35,39
1539,206,83,126,93,81,69,51,68,35,39,25,26,26
1333,200,78,104,75,61,64,41,48,46,24,11,21,33
1484,220,84,96,87,55,57,52,48,43,25,15,27,31
1357,195,82,98,87,29,43,37,46,43,23,9,28,28
1369,163,210,194,110,79,58,41,43,25,24,34,20,11
1648,330,195,210,100,96,110,113,93,61,67,56,70,45
2154,171,265,281,140,159,86,46,65,19,26,57,14,16
1738,261,157,179,112,103,101,59,65,43,54,40,27,36
1480,217,186,155,97,108,100,63,61,34,36,35,38,21
1569,181,187,177,115,73,57,38,36,36,25,30,18,16
1516,229,157,139,102,73,58,68,53,53,34,32,26,27
1112,130,146,131,67,81,52,37,39,17,24,22,14,17
1458,205,101,81,69,64,58,65,33,40,49,24,34,36
1182,231,97,95,77,73,62,50,29,44,35,24,25,31
1517,245,105,99,98,67,63,80,38,52,44,38,31,32
1485,216,88,89,100,48,60,50,35,51,29,20,28,32
1354,187,115,115,76,44,60,39,31,51,24,16,28,27
1662,313,144,159,83,67,86,82,95,78,55,33,54,81
1411,229,154,133,89,56,65,48,57,52,33,26,20,34
1346,196,84,92,76,51,54,45,28,43,23,15,19,36
1448,248,128,116,91,90,75,63,48,43,38,21,23,28
1364,245,105,92,82,57,76,69,46,62,48,31,32,53
1351,225,115,90,92,58,66,68,46,45,50,19,21,27
1623,150,222,226,108,138,68,38,70,26,28,31,21,19
1537,179,200,208,109,153,87,43,67,29,32,41,28,19
1514,147,202,163,101,115,63,38,65,28,24,26,18,16
1640,230,181,126,98,103,91,59,80,54,50,30,30,30
1583,249,196,192,125,124,78,54,108,40,54,46,56,31
1456,196,181,161,82,124,80,45,68,29,36,45,21,27
1598,214,272,306,97,146,98,66,55,27,28,70,27,24
1656,174,196,184,115,150,74,52,70,29,24,45,27,22
1522,245,222,159,114,146,88,62,80,44,41,38,29,29
1540,192,193,187,120,102,78,52,58,30,34,35,28,22
1654,269,243,234,149,144,103,95,97,44,63,87,61,46
1476,286,199,158,94,114,91,83,69,63,62,50,43,51
1462,193,240,247,123,143,103,65,84,37,40,80,23,27
1317,204,184,172,116,105,60,56,58,35,33,43,34,26
