Year,Facility Id,Hospital Name,Hospital County,Stroke Designated Center,Coverdell Hospital,Stroke Cases,Died,Observed Rate,Expected Rate,Risk Adjusted Rate,Lower 95CI RAR,Upper 95CI RAR,Compare to State
2013,324,Adirondack Medical Center-Saranac Lake Site,Franklin,No,No,30,3,10,10.65,13.15,2.71,38.44,NS
2013,1,Albany Medical Center Hospital,Albany,Yes,Yes,636,80,12.58,14.26,12.36,9.8,15.38,NS
2013,4,Albany Memorial Hospital,Albany,Yes,Yes,58,8,13.79,13.64,14.17,6.12,27.92,NS
2013,325,Alice Hyde Medical Center,Franklin,No,No,33,10,30.3,15.34,27.68,13.27,50.91,NS
2013,116,Arnot Ogden Medical Center,Chemung,Yes,No,166,20,12.05,10.91,15.47,9.45,23.9,NS
2013,85,Auburn Community Hospital,Cayuga,Yes,No,47,7,14.89,13.71,15.22,6.12,31.36,NS
2013,1438,Bellevue Hospital Center,New York,Yes,No,156,26,16.67,16.56,14.1,9.21,20.66,NS
2013,1324,Beth Israel Med Center-Kings Hwy Div,Kings,Yes,No,181,17,9.39,10.5,12.53,7.3,20.06,NS
2013,1439,Beth Israel Medical Center/Petrie Campus,New York,Yes,Yes,336,41,12.2,13.96,12.24,8.79,16.61,NS
2013,1178,Bronx-Lebanon Hospital Center - Concourse Division,Bronx,Yes,Yes,261,27,10.34,10.08,14.38,9.48,20.92,NS
2013,1286,Brookdale Hospital Medical Center,Kings,Yes,No,275,41,14.91,12.95,16.13,11.57,21.88,NS
2013,885,Brookhaven Memorial Hospital Medical Center Inc,Suffolk,Yes,Yes,180,26,14.44,15.05,13.45,8.78,19.7,NS
2013,1288,Brooklyn Hospital Center - Downtown Campus,Kings,Yes,Yes,134,25,18.66,13.69,19.09,12.35,28.18,NS
2013,207,Buffalo General Medical Center,Erie,Yes,Yes,1518,248,16.34,14.91,15.35,13.5,17.39,NS
2013,815,Canton-Potsdam Hospital,St Lawrence,No,No,52,10,19.23,11.61,23.21,11.13,42.68,NS
2013,971,Catskill Regional Medical Center,Sullivan,No,No,49,5,10.2,9.73,14.69,4.77,34.29,NS
2013,977,Cayuga Medical Center at Ithaca,Tompkins,Yes,No,102,25,24.51,14.9,23.05,14.92,34.02,Above
2013,135,Champlain Valley Physicians Hospital Medical Center,Clinton,No,No,108,13,12.04,9.61,17.54,9.34,30,NS
2013,798,Claxton-Hepburn Medical Center,St Lawrence,No,No,36,4,11.11,7.35,21.18,5.77,54.23,NS
2013,146,Columbia Memorial Hospital,Columbia,Yes,No,50,5,10,9.73,14.4,4.68,33.61,NS
2013,1294,Coney Island Hospital,Kings,Yes,No,193,34,17.62,17,14.52,10.05,20.29,NS
2013,866,Corning Hospital,Steuben,Yes,No,66,4,6.06,7.62,11.14,3.04,28.52,NS
2013,636,Crouse Hospital,Onondaga,Yes,No,365,55,15.07,16.6,12.72,9.58,16.56,NS
2013,829,Ellis Hospital,Schenectady,Yes,Yes,345,63,18.26,13.89,18.42,14.16,23.57,Above
2013,1626,Elmhurst Hospital Center,Queens,Yes,No,244,36,14.75,14.15,14.61,10.23,20.23,NS
2013,210,Erie County Medical Center,Erie,Yes,No,78,13,16.67,13.35,17.5,9.32,29.92,NS
2013,599,Faxton-St Lukes Healthcare St Lukes Division,Oneida,Yes,Yes,365,74,20.27,15.64,18.16,14.26,22.8,Above
2013,678,F F Thompson Hospital,Ontario,Yes,No,103,25,24.27,12.95,26.26,17,38.77,Above
2013,1628,Flushing Hospital Medical Center,Queens,Yes,No,162,29,17.9,15.14,16.56,11.09,23.79,NS
2013,1638,Forest Hills Hospital,Queens,Yes,No,181,19,10.5,13.1,11.23,6.76,17.54,NS
2013,518,Franklin Hospital,Nassau,Yes,Yes,210,21,10,9.73,14.39,8.91,22,NS
2013,671,Geneva General Hospital,Ontario,Yes,Yes,90,12,13.33,12.32,15.17,7.84,26.49,NS
2013,490,Glen Cove Hospital,Nassau,Yes,No,82,13,15.85,12.88,17.24,9.18,29.48,NS
2013,1005,Glens Falls Hospital,Warren,No,No,141,22,15.6,15.85,13.79,8.64,20.88,NS
2013,925,Good Samaritan Hospital Medical Center,Suffolk,Yes,No,291,54,18.56,17.03,15.26,11.47,19.91,NS
2013,779,Good Samaritan Hospital of Suffern,Rockland,Yes,No,187,21,11.23,12.27,12.82,7.94,19.6,NS
2013,1445,Harlem Hospital Center,New York,Yes,No,113,8,7.08,9.3,10.66,4.6,21.01,NS
2013,409,Highland Hospital,Monroe,Yes,Yes,190,32,16.84,13.97,16.89,11.55,23.84,NS
2013,1039,Hudson Valley Hospital Center,Westchester,Yes,No,110,15,13.64,9.22,20.73,11.6,34.19,NS
2013,913,Huntington Hospital,Suffolk,Yes,No,213,35,16.43,15.44,14.91,10.38,20.73,NS
2013,1309,Interfaith Medical Center,Kings,No,No,33,3,9.09,7.83,16.27,3.36,47.56,NS
2013,1165,Jacobi Medical Center,Bronx,Yes,No,156,20,12.82,14.79,12.14,7.42,18.76,NS
2013,1629,Jamaica Hospital Medical Center,Queens,Yes,Yes,509,71,13.95,11.49,17.01,13.28,21.45,NS
2013,895,John T Mather Memorial Hospital of Port Jefferson New York Inc,Suffolk,Yes,Yes,132,13,9.85,11.84,11.66,6.21,19.93,NS
2013,267,Kenmore Mercy Hospital,Erie,Yes,Yes,127,23,18.11,14.63,17.35,11,26.03,NS
2013,1315,Kingsbrook Jewish Medical Center,Kings,Yes,No,170,11,6.47,11.16,8.12,4.05,14.53,NS
2013,1301,Kings County Hospital Center,Kings,Yes,No,324,35,10.8,9.53,15.88,11.06,22.09,NS
2013,990,Kingston Hospital,Ulster,Yes,No,177,19,10.73,9.17,16.4,9.87,25.6,NS
2013,1122,Lawrence Hospital Center,Westchester,Yes,Yes,141,24,17.02,16.61,14.36,9.2,21.36,NS
2013,1450,Lenox Hill Hospital,New York,Yes,No,176,15,8.52,11.42,10.46,5.85,17.25,NS
2013,1172,Lincoln Medical & Mental Health Center,Bronx,Yes,No,214,25,11.68,10.44,15.68,10.15,23.15,NS
2013,1630,Long Island Jewish Medical Center,Queens,Yes,No,395,42,10.63,11.86,12.56,9.05,16.98,NS
2013,1304,Lutheran Medical Center,Kings,Yes,Yes,317,32,10.09,16.51,8.57,5.86,12.09,Below
2013,1305,Maimonides Medical Center,Kings,Yes,Yes,627,70,11.16,14.59,10.72,8.36,13.55,Below
